Time,Pc_bar,Thrust_kN,M_tot,OF,Tw_max,Tc_out,Sigma_Hoop,Sigma_Therm,SF
7.340,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.350,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.360,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.370,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.380,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.390,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.400,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.410,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.420,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.430,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.440,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.450,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.460,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.470,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.480,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.490,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.500,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.510,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.520,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.530,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.540,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.550,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.560,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.570,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.580,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.590,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.600,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.610,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.620,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.630,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.640,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.650,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.660,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.670,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.680,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.690,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.700,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.710,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.720,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.730,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.740,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.750,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.760,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.770,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.780,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.790,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.800,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.810,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.820,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.830,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.840,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.850,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.860,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.870,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.880,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.890,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.900,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.910,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.920,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.930,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.940,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.950,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.960,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.970,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.980,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
7.990,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.000,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.010,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.020,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.030,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.040,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.050,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.060,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.070,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.080,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.090,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.100,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.110,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.120,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.130,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.140,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.150,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.160,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.170,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.180,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.190,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.200,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.210,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.220,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.230,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.240,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.250,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.260,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.270,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.280,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.290,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.300,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.310,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.320,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.330,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.340,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.350,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.360,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.370,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.380,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.390,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.400,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.410,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.420,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.430,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.440,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.450,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.460,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.470,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.480,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.490,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.500,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.510,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.520,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.530,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.540,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.550,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.560,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.570,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.580,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.590,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.600,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.610,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.620,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.630,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.640,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.650,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.660,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.670,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.680,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.690,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.700,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.710,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.720,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.730,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.740,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.750,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.760,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.770,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.780,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.790,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.800,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.810,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.820,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.830,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.840,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.850,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.860,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.870,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.880,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.890,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.900,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.910,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.920,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.930,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.940,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.950,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.960,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.970,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.980,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
8.990,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.000,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.010,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.020,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.030,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.040,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.050,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.060,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.070,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.080,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.090,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.100,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.110,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.120,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.130,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.140,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.150,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.160,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.170,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.180,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.190,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.200,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.210,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.220,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.230,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.240,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.250,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.260,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.270,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.280,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.290,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.300,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.310,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.320,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.330,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.340,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.350,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.360,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.370,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.380,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.390,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.400,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.410,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.420,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.430,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.440,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.450,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.460,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.470,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.480,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.490,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.500,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.510,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.520,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.530,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.540,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.550,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.560,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.570,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.580,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.590,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.600,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.610,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.620,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.630,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.640,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.650,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.660,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.670,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.680,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.690,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.700,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.710,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.720,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.730,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.740,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.750,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.760,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.770,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.780,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.790,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.800,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.810,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.820,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.830,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.840,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.850,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.860,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.870,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.880,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.890,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.900,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.910,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.920,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.930,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.940,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.950,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.960,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.970,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.980,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
9.990,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
10.000,46.15,17.95,7.36,3.52,783.9,371.3,243.3,452.5,0.14
